name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,amenity,shop
McDonald's,2 Вокзальна площа,+380 44 501 3297,,https://www.mcdonalds.ua/,Mo-Su 06:00-22:00,burger,yes,yes,,yes,,fast_food,
"""Їдальня""","""Їдальня""",,,,,,,,,no,,fast_food,
Піцерія №3,Піцерія №3,,,,,,,,,,,fast_food,
Челентано,Челентано,,,,,pizza,,,,,,fast_food,
Дрова,"2 Вокзальна площа, 03031",+380 95 280 6667,,https://www.drova.net.ua/,Mo-Su 05:00-23:00,regional,,,,,,fast_food,
Смачна Картопля,Смачна Картопля,,,,,,,,,,,fast_food,
СупХаус,СупХаус,,,,,,,,,,,fast_food,
Два Гуся,Два Гуся,,,,,,,,,,,fast_food,
McDonald's,McDonald's,,,https://www.mcdonalds.ua/,Mo-Su 07:00-22:00,burger,,yes,,yes,"Cash, Mastercard, Visa",fast_food,
Пузата Хата,Пузата Хата,,,https://puzatahata.ua/,Mo-Su 07:30-23:00,ukrainian,no,yes,,no,,fast_food,
Кафе на Тургенєвській,71 вулиця Олександра Кониського,+38 044 501-09-50,,,,,,,,,,fast_food,
Мама Мія Піцца,Мама Мія Піцца,,,,,,,,,,,fast_food,
Печена Картопля,Печена Картопля,,,,,,,,,,,fast_food,
Євросмак,86 вулиця Казимира Малевича,+380 44 461 9911,,http://evrosmak.com.ua/,Mo-Su 10:00-17:00,,,,,yes,,fast_food,
Пузата Хата,2-Б Контрактова площа,,,https://puzatahata.ua/,08:00-23:00,ukrainian,no,yes,,no,"Cash, Mastercard, Visa, Contactless",fast_food,
Comfort food,30-В вулиця Фізкультури,,,,Mo-Fr 09:00-18:00,regional,,,,no,,fast_food,
Трапезна «Академія»,4 Контрактова площа,,,,"Mo-Fr 09:00-22:00, 09:00-18:00; Sa, Su 10:00-21:00",,,,,no,"Cash, Mastercard, Visa",fast_food,
Київська перепічка,"3 вулиця Богдана Хмельницького, 01001",+380 44 234 7235,,,Mo-Sa 08:30-21:00; Su 10:00-21:00,sausage,,only,no,yes,"Cash, Credit Cards, Debit Cards, Mastercard, Visa, Contactless",fast_food,
Шкварочка,Шкварочка,,,,,,,,,,,fast_food,
Італідзе,Італідзе,,,,10:00-22:00,,,,,,,fast_food,
Domino's,Domino's,+380 44 222 1111,,https://dominos.ua/,Tu 10:00-23:00;We-Mo 11:00-22:00,pizza,,yes,,,,fast_food,
Матусина кухня,Матусина кухня,,,,Mo-Fr 09:00-17:30,regional,,,,,,fast_food,
McDonald's,40/25 вулиця Богдана Хмельницького,,,mcdonalds.ua,Mo-Su 07:00-22:00,burger,yes,yes,,,"Cash, Credit Cards, Debit Cards, Contactless",fast_food,
Eco Buffet,23-Г проспект Степана Бандери,+380 67 382 4108,,https://www.eco-buffet.com/,Mo-Fr 08:30-20:00; Sa-Su 10:30-20:00,,,,,no,,fast_food,
Philadelphia,3 Берестейський проспект,+380 67 547 5533,,,Mo-Su 10:00-23:00,sushi,,,,no,"Cash, Mastercard, Visa, Contactless",fast_food,
Хачапурі,Хачапурі,,,,,georgian,no,yes,,,,fast_food,
sushi yummy,sushi yummy,,,,,sushi,,,,,,fast_food,
Їдальня Інституту електрозварювання ім. Є. О. Патона,Їдальня Інституту електрозварювання ім. Є. О. Патона,,,,Mo-Sa 12:00-16:00,regional,,,,,,fast_food,
Patison,Patison,,,,"mo-fr 09:00-17:00, sa-su off",,,,,,,fast_food,
KFC,2-А Еспланадна вулиця,,,https://www.kfc-ukraine.com/,07:00-21:00,chicken,no,yes,,no,,fast_food,
