name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,amenity,shop
Audio Video Plaza Inc,US,,,http://profile.reliableplaces.com/CA/Los+Angeles/Electronic+Parts+Supplier/Audio+Video+Plaza+Inc,,,,,,yes,,,electronics
Electronics Store Repair,"215 #E East 7th Street, Los Angeles, CA, 90014",,,,,,,,,,,,electronics
Apple Tower Theatre,"802 South Broadway, Los Angeles, CA, 90013",2136551200,,https://www.apple.com/retail/towertheatre/,Mo-Sa 10:00-20:00; Su 10:00-19:00,,,,,,,,electronics
