name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,amenity,shop
Burger Bar 39,Burger Bar 39,,,,,burger,,,,,,fast_food,
Shawarma Shenkin,Shawarma Shenkin,,,,,israeli,,,,,,fast_food,
מקדונלד'ס,מקדונלד'ס,,,https://www.mcdonalds.co.il/,,burger,,yes,,,,fast_food,
KFC,KFC,,,,,chicken,,yes,,,,fast_food,
Burger King,Burger King,,,,,burger,,yes,,,,fast_food,
ארלקינו,267 דיזנגוף,,,,,ice_cream,,,,,,fast_food,
טוני ווספה,267 דיזנגוף,,,,,pizza,,,,,,fast_food,
בורקס עמיקם,21 אבן גבירול,,,,,,,,,,,fast_food,
יוגורטיה,221 בן יהודה,,,,,,,,,,,fast_food,
טוני ווספה,"140 שדרות רוטשילד, תל אביב-יפו",,,,,pizza,yes,,yes,,,fast_food,
אגדיר,אגדיר,,,,,burger,,yes,,,,fast_food,
קרנף,קרנף,,,,,,,,,,,fast_food,
Magic Burger,"64 אבן גבירול, תל אביב-יפו",+97236956782,,https://magic-burger.co.il/,,burger,,,yes,,,fast_food,
דבוש,דבוש,,,,,,,,,,,fast_food,
וופל בר,"61 אבן גבירול, תל אביב-יפו",,,https://waffle-bar.co.il/,,waffle,,,,,,fast_food,
עלים ירוקים,עלים ירוקים,,,,,,,,,,,fast_food,
Pier 23,Pier 23,,,,,,,,,,,fast_food,
דומינוז פיצה,דומינוז פיצה,,,,,pizza,,,,,,fast_food,
חומוס,חומוס,,,,,,,,,,,fast_food,
קפה יוטו,קפה יוטו,,,,,,yes,yes,,,,fast_food,
Pepper,Pepper,,,,,,,,,,,fast_food,
בורגראנץ',בורגראנץ',,,https://app.burgeranch.co.il,,burger,,,yes,,,fast_food,
מאפיית המשפחה,מאפיית המשפחה,,,,,,,,,,,fast_food,
שמש,שמש,,,,,kebab,,,,,,fast_food,
הסושיה,הסושיה,,,,,japanese,,,,,,fast_food,
חומוס אבו-אדהם,חומוס אבו-אדהם,,,,,,,,,yes,,fast_food,
פלאפל 4 טעמים,פלאפל 4 טעמים,,,,,,,,,,,fast_food,
Zota Pizza,177 דיזנגוף,,,,,pizza,,,,,,fast_food,
La Gaterie,La Gaterie,,,,,,,,,,,fast_food,
